Date,Open,High,Low,Close,Volume
2005-11-06,3.6786,4.0229,3.6329,3.9414,66065783
2005-11-13,3.9557,4.3214,3.9243,4.2957,62103426
2005-11-20,4.3,4.3,3.89,4.06,38715978
2005-11-27,4.04,4.2229,3.9714,4.1786,18733645
2005-12-04,4.0714,4.0857,3.8157,3.9557,33265659
2005-12-11,3.9286,4.01,3.6543,3.6771,28086891
2005-12-18,3.6786,3.8629,3.22,3.7571,103764920
2005-12-25,3.7671,3.9671,3.5671,3.9614,49076167
2006-01-01,3.97,3.9714,3.8043,3.8657,17884314
2006-01-08,3.8643,3.8743,3.5171,3.5757,48273603
2006-01-15,3.5714,3.6971,3.5,3.6514,42160398
2006-01-22,3.6157,3.7,3.3529,3.3529,35251979
2006-01-29,3.3714,4.2743,3.2986,3.9743,157918313
2006-02-05,4.0029,4.0143,3.6214,3.73,67493853
2006-02-12,3.75,3.78,3.4843,3.6329,49219604
2006-02-19,3.6371,3.6386,3.4271,3.5686,37964682
2006-02-26,3.6,3.7929,3.5814,3.7114,29265740
2006-03-05,3.7486,3.8743,3.65,3.8229,27529481
2006-03-12,3.84,3.84,3.5214,3.65,32542811
2006-03-19,3.5814,3.7771,3.5543,3.7386,27081411
2006-03-26,3.7643,4.1,3.7571,4.0957,32400795
2006-04-02,4.0571,4.2,3.9357,4.1414,32124435
2006-04-09,4.1414,4.16,3.8386,3.9914,46791269
2006-04-16,3.9857,4.18,3.9657,4.17,25351704
2006-04-23,4.1429,4.5357,4.1071,4.4,51141559
2006-04-30,4.4057,4.7314,4.2286,4.2343,95199874
2006-05-07,4.2657,4.3471,4.2157,4.3286,36036252
2006-05-14,4.3271,4.5971,4.1457,4.2271,43881873
2006-05-21,4.1929,4.2386,3.9486,3.9814,29689135
2006-05-28,3.9629,4.1571,3.8314,4.1186,29773632
2006-06-04,4.0971,4.1414,3.9257,3.9929,21853622
2006-06-11,3.9671,4.0386,3.6857,3.9329,50159886
2006-06-18,3.9186,4.0629,3.81,3.8743,41848940
2006-06-25,3.9057,4.07,3.7914,3.9057,49081375
2006-07-02,3.9243,4.0071,3.7529,3.8871,27447658
2006-07-09,3.9086,3.9371,3.7143,3.8071,15861755
2006-07-16,3.8229,3.8271,3.4129,3.4557,46784290
2006-07-23,3.4286,3.5114,3.2571,3.2929,50771609
2006-07-30,3.2957,3.4071,2.6557,2.9786,187985917
2006-08-06,2.9857,3.1071,2.8714,2.9943,64010464
2006-08-13,3,3.0071,2.8243,2.84,33499305
2006-08-20,2.8429,2.9514,2.7957,2.8357,37533174
2006-08-27,2.8414,2.8457,2.5886,2.6743,49824824
2006-09-03,2.6957,2.8957,2.6943,2.86,37599436
2006-09-10,2.8743,3.0986,2.8429,2.8914,39991301
2006-09-17,2.8586,3.2743,2.8586,3.2457,46234216
2006-09-24,3.2643,3.3629,3.1,3.2871,38960096
2006-10-01,3.3257,3.3714,3.2343,3.2543,27411125
2006-10-08,3.2557,3.4586,3.1857,3.4443,26803623
2006-10-15,3.4557,3.4557,3.2943,3.3143,25414725
2006-10-22,3.3343,3.34,3.1357,3.1771,40034477
2006-10-29,3.1814,4.0143,3.15,3.9414,159009102
2006-11-05,3.9529,4.0571,3.7429,3.8143,47544455
